종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%)
046890,서울반도체,"13,700",-200,-1.4,"722,826","9,941,866,750","13,900","13,950","13,600","798,783,980,000",0.05,"58,305,400","6,469,890",11.1
178920,PI첨단소재,"27,200",-650,-2.3,"266,483","7,225,748,100","27,900","28,000","26,750","798,763,958,400",0.05,"29,366,322","2,493,957",8.49
006040,동원산업,"216,000","-2,000",-0.9,"2,419","526,999,500","218,000","220,000","215,000","794,370,456,000",0.05,"3,677,641","272,786",7.42
005440,현대그린푸드,"8,120",-40,-0.5,"209,822","1,703,603,380","8,070","8,200","8,050","793,360,393,840",0.05,"97,704,482","10,729,694",10.98
003850,보령제약,"16,500",-50,-0.3,"605,200","10,062,587,700","16,650","17,000","16,400","785,730,000,000",0.05,"47,620,000","4,706,597",9.88
079550,LIG넥스원,"35,550",-750,-2.1,"415,678","14,856,591,900","36,300","36,500","35,150","782,100,000,000",0.05,"22,000,000","1,193,262",5.42
241590,화승엔터프라이즈,"12,900",250,2.0,"283,116","3,640,584,400","12,700","13,000","12,600","780,923,043,000",0.05,"60,536,670","1,966,528",3.25
290650,엘앤씨바이오,"105,000",-600,-0.6,"101,132","10,670,459,500","105,600","109,000","103,000","775,354,860,000",0.05,"7,384,332","273,982",3.71
108230,톱텍,"20,250",-350,-1.7,"1,150,675","23,090,996,000","20,600","20,750","19,600","769,970,711,250",0.04,"38,023,245","2,847,318",7.49
271980,제일약품,"52,300","1,100",2.2,"717,963","38,087,612,000","54,900","55,300","51,200","769,064,805,600",0.04,"14,704,872","647,632",4.4
093370,후성,"8,280",320,4.0,"1,906,241","15,655,555,930","8,010","8,370","7,940","766,784,461,320",0.04,"92,606,819","4,062,820",4.39
028150,GS홈쇼핑,"115,200","2,500",2.2,"22,108","2,510,110,100","110,100","115,600","109,900","756,000,000,000",0.04,"6,562,500","1,597,325",24.34
034310,NICE,"19,900",350,1.8,"36,646","731,529,150","19,850","20,300","19,600","753,857,770,000",0.04,"37,882,300","7,499,351",19.8
049770,동원F&B,"194,000","-2,500",-1.3,"6,511","1,268,145,000","196,500","196,500","193,500","748,670,056,000",0.04,"3,859,124","266,577",6.91
280360,롯데제과,"116,500","-3,000",-2.5,"6,802","794,379,000","118,500","119,500","115,500","747,547,530,500",0.04,"6,416,717","1,098,445",17.12
006650,대한유화,"115,000","-3,000",-2.5,"38,301","4,442,057,500","116,500","118,000","115,000","747,500,000,000",0.04,"6,500,000","849,302",13.07
204270,제이앤티씨,"12,900",-300,-2.3,"786,630","10,147,997,150","13,450","13,550","12,650","746,245,211,400",0.04,"57,848,466","357,721",0.62
284740,쿠쿠홈시스,"33,100","-1,350",-3.9,"78,252","2,621,425,800","34,050","34,450","33,000","742,675,623,000",0.04,"22,437,330","1,016,593",4.53
071840,롯데하이마트,"31,350","-1,150",-3.5,"265,146","8,373,301,700","32,200","32,500","30,850","740,101,771,200",0.04,"23,607,712","2,371,805",10.05
078130,국일제지,"5,850",100,1.7,"4,532,535","26,405,301,390","5,760","5,950","5,700","739,138,046,400",0.04,"126,348,384","4,785,526",3.79
025900,동화기업,"36,250","3,950",12.2,"1,409,185","49,468,409,450","32,600","37,650","32,300","732,191,347,500",0.04,"20,198,382","8,616,167",42.66
237690,에스티팜,"38,800",-400,-1.0,"167,677","6,538,423,500","39,200","39,850","38,400","723,852,800,000",0.04,"18,656,000","1,667,197",8.94
035900,JYP Ent.,"20,350",-500,-2.4,"353,209","7,226,707,300","20,800","20,800","20,250","722,323,087,200",0.04,"35,494,992","5,409,177",15.24
092190,서울바이오시스,"18,850",-900,-4.6,"3,569,770","67,603,657,050","19,350","19,350","18,300","720,515,859,050",0.04,"38,223,653",0,0.0
086900,메디톡스,"120,000","-30,000",-20.0,"1,481,062","181,022,916,300","120,800","129,500","114,800","717,293,880,000",0.04,"5,977,449","1,097,634",18.36
090460,비에이치,"21,700",350,1.6,"871,750","18,802,990,950","21,450","21,850","20,950","712,864,313,000",0.04,"32,850,890","4,652,721",14.16
025980,아난티,"8,400",-130,-1.5,"15,730,196","133,891,839,580","8,530","8,950","8,070","712,767,795,600",0.04,"84,853,309","3,819,518",4.5
115450,지트리비앤티,"27,700",-900,-3.2,"456,005","12,696,216,450","28,200","28,350","27,500","711,164,814,000",0.04,"25,673,820","1,223,908",4.77
069080,웹젠,"20,100",-650,-3.1,"333,269","6,721,481,550","20,950","20,950","19,750","709,748,768,400",0.04,"35,310,884","9,475,716",26.84
069260,휴켐스,"17,300",250,1.5,"128,413","2,217,012,700","16,900","17,550","16,850","707,199,572,400",0.04,"40,878,588","4,113,538",10.06
067160,아프리카TV,"60,800","3,400",5.9,"252,474","15,116,855,600","57,400","61,200","57,000","698,881,833,600",0.04,"11,494,767","3,982,605",34.65
141080,레고켐바이오,"59,100","-6,300",-9.6,"900,029","54,503,664,600","62,500","63,900","58,300","692,732,730,600",0.04,"11,721,366","797,646",6.81
000150,두산,"41,900",-650,-1.5,"141,989","5,977,499,000","42,550","43,400","41,200","692,348,686,500",0.04,"16,523,835","1,682,891",10.18
086520,에코프로,"31,050",-500,-1.6,"529,105","16,556,546,050","31,550","31,900","30,800","685,900,430,550",0.04,"22,090,191","2,784,841",12.61
018670,SK가스,"74,100",700,1.0,"8,645","640,456,300","73,700","74,800","72,800","683,961,080,400",0.04,"9,230,244","610,601",6.62
090435,아모레퍼시픽우,"64,500","2,900",4.7,"164,393","10,541,209,700","62,500","65,500","61,200","680,980,035,000",0.04,"10,557,830","7,030,890",66.59
022100,포스코 ICT,"4,460",-5,-0.1,"295,229","1,309,233,965","4,465","4,485","4,380","678,074,891,340",0.04,"152,034,729","6,615,260",4.35
033660,아주캐피탈,"11,700",200,1.7,"17,395","200,859,750","11,500","11,750","11,400","673,286,913,000",0.04,"57,545,890","741,625",1.29
008350,남선알미늄,"6,100",30,0.5,"6,966,927","42,720,920,530","6,050","6,250","6,040","672,092,449,000",0.04,"110,179,090","4,443,641",4.03
267980,매일유업,"85,100",0,0.0,"22,484","1,915,902,100","84,600","86,100","83,000","667,493,593,800",0.04,"7,843,638","1,446,349",18.44
005850,에스엘,"13,800",0,0.0,0,0,0,0,0,"665,205,222,600",0.04,"48,203,277","6,752,491",14.01
033640,네패스,"28,400",150,0.5,"323,595","9,193,666,100","28,300","28,950","28,000","654,881,336,800",0.04,"23,059,202","1,682,481",7.3
001120,LG상사,"16,850","1,900",12.7,"1,851,577","29,876,664,150","14,900","17,150","14,850","653,106,000,000",0.04,"38,760,000","6,472,561",16.7
000640,동아쏘시오홀딩스,"105,500","-2,500",-2.3,"17,826","1,878,845,500","106,000","108,500","104,500","647,590,333,500",0.04,"6,138,297","870,778",14.19
017810,풀무원,"16,950",-450,-2.6,"193,233","3,337,870,050","17,250","17,650","16,850","645,641,602,500",0.04,"38,090,950","700,715",1.84
083790,크리스탈,"15,200",-100,-0.6,"457,835","6,942,096,300","15,400","15,450","14,900","643,884,752,800",0.04,"42,360,839","3,128,637",7.39
101490,에스앤에스텍,"32,450",250,0.8,"601,314","19,524,665,950","32,450","33,150","31,450","640,411,490,950",0.04,"19,735,331","841,524",4.26
112610,씨에스윈드,"36,850",150,0.4,"51,495","1,909,659,700","36,950","38,400","36,250","636,978,597,750",0.04,"17,285,715","1,303,831",7.54
008490,서흥,"55,000",-900,-1.6,"51,975","2,863,032,300","55,600","56,300","54,200","636,301,215,000",0.04,"11,569,113","1,189,778",10.28
003380,하림지주,"6,890",50,0.7,"133,829","926,662,520","6,810","7,060","6,730","636,235,139,800",0.04,"92,341,820","4,693,043",5.08
065660,안트로젠,"72,400","2,200",3.1,"230,655","16,363,715,700","72,200","73,000","69,000","635,330,054,800",0.04,"8,775,277","487,135",5.55
001630,종근당홀딩스,"126,500","-6,000",-4.5,"171,780","23,174,214,500","142,500","144,000","126,000","633,747,416,500",0.04,"5,009,861","774,717",15.46
035600,KG이니시스,"22,650",500,2.3,"505,041","11,352,823,500","22,350","23,050","21,800","632,035,430,100",0.04,"27,904,434","5,198,942",18.63
005180,빙그레,"64,100","-1,200",-1.8,"66,971","4,295,585,200","65,100","65,100","63,700","631,464,548,100",0.04,"9,851,241","2,504,611",25.42
144510,녹십자랩셀,"59,500","2,700",4.8,"1,729,400","103,318,933,800","58,100","62,400","56,800","627,966,213,000",0.04,"10,554,054","221,632",2.1
115390,락앤락,"11,550",-100,-0.9,"160,470","1,871,164,800","11,550","11,900","11,400","625,855,230,000",0.04,"54,186,600","38,731,951",71.48
103140,풍산,"22,300",-700,-3.0,"664,142","15,005,071,550","23,250","23,300","22,150","624,941,399,400",0.04,"28,024,278","2,324,032",8.29
108320,실리콘웍스,"38,200",200,0.5,"176,283","6,833,589,350","38,000","39,600","37,350","621,296,260,000",0.04,"16,264,300","5,289,567",32.52
078070,유비쿼스홀딩스,"33,050","-1,000",-2.9,"181,845","6,053,184,800","34,050","34,100","32,900","617,923,555,400",0.04,"18,696,628","625,671",3.35
230360,에코마케팅,"38,100",250,0.7,"91,521","3,475,539,000","37,900","38,500","37,500","617,179,499,700",0.04,"16,198,937","876,625",5.41
018250,애경산업,"23,300",-50,-0.2,"64,616","1,500,230,000","23,400","23,450","23,050","615,351,485,500",0.04,"26,409,935","590,398",2.24
007390,네이처셀,"9,910",-190,-1.9,"905,426","9,020,684,000","10,050","10,100","9,890","606,396,854,090",0.04,"61,190,399","2,947,542",4.82
006120,SK디스커버리,"31,800",150,0.5,"262,428","8,318,642,900","31,850","32,200","31,300","605,403,789,000",0.04,"19,037,855","2,200,017",11.56
052690,한전기술,"15,700",-250,-1.6,"102,819","1,606,892,250","16,050","16,050","15,450","600,054,000,000",0.04,"38,220,000","1,089,433",2.85
058820,CMG제약,"4,300",-10,-0.2,"2,439,679","10,468,370,155","4,350","4,370","4,245","597,236,649,200",0.03,"138,892,244","8,984,795",6.47
084370,유진테크,"26,050","1,650",6.8,"1,025,592","26,576,035,850","24,600","26,450","24,100","596,962,894,100",0.03,"22,916,042","3,312,401",14.45
064960,S&T모티브,"40,800",-300,-0.7,"41,881","1,726,165,150","40,800","41,950","40,650","596,623,948,800",0.03,"14,623,136","3,621,094",24.76
001440,대한전선,693,-4,-0.6,"1,017,994","698,932,762",684,697,681,"593,535,795,237",0.03,"856,473,009","14,885,008",1.74
263050,유틸렉스,"78,300",800,1.0,"340,523","26,713,772,200","78,500","79,600","75,900","581,826,472,200",0.03,"7,430,734","2,275,597",30.62
092040,아미코젠,"30,200",-950,-3.0,"320,467","9,691,954,500","31,450","31,650","29,500","580,051,702,000",0.03,"19,207,010","1,554,656",8.09
